1;362024;362024;True;1234;123456
2;362024;362024;True;78778787;999999
3;362024;0;True;1234;999999
4;362024;0;True;78778787;999999
5;462024;0;True;1234;999999
6;462024;0;True;78778787;999999
7;462024;0;True;78778787;999999
8;562024;0;True;1234;999999
9;662024;0;True;78778787;123456
10;662024;0;True;78778787;999999
11;862024;0;True;78778787;123456
12;862024;0;True;1234;999999
13;862024;0;True;78778787;999999
14;204729:662024;21315:862024;False;1234;123456
15;21321:862024;21323:862024;False;1234;123456
16;2144:862024;21438:862024;False;1234;123456
17;21456:862024;0;True;1234;123456
